"Part";"Value";"Device";"Footprint Name";"Detailed Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CHECK_PRICES";"COPYRIGHT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"HEIGHT";"JLCPCB";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SNAPEDA_LINK";"SPICEMODEL";"SPICEPREFIX";"TP_SIGNAL_NAME";"VALUE";
"ANT1";"2450AT18B100E";"2450AT18B100E_2450AT18B100E";"2450AT18B100E_ANTC3216X140N";"Antennas 2.45GHz ANTENNA";"2450AT18B100E";"https://www.arrow.com/en/products/2450at18b100e/johanson-dielectrics?utm_currency=USD&region=nac";"";"";"";"Antennas 2.45GHz ANTENNA";"";"";"";"1.4mm";"";"JOHANSON TECHNOLOGY";"2450AT18B100E";"";"609-2450AT18B100E";"https://www.mouser.co.uk/ProductDetail/Johanson-Technology/2450AT18B100E?qs=yCnrNFeXz%252Bh5MFsFIXGZGA%3D%3D";"";"";"";"";"";"";"";"";"";"";"";
"C1";"12pF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1-EP-DR";"10uF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"12pF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2-EP-DR";"4.7uF/25V";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"1pF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"1pF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"100nF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"4.7µF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"100nF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
