ANT1	72.39	135.89	0.00	2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	69.85	137.16	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C1-EP-DR	43.18	146.05	0.00	10uF	NORDIC_NRF_3_RESC0201_L
C10	63.50	139.70	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C11	60.96	139.70	0.00	100pF	NORDIC_NRF_3_RESC0201_L
C12	58.42	140.97	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C13	60.96	142.24	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C14	50.80	142.24	0.00	4.7µF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15	57.15	144.78	0.00	1.0µF	NORDIC_NRF_3_RESC0201_L
C16	59.69	144.78	0.00	47nF	NORDIC_NRF_3_RESC0201_L
C17	44.45	140.97	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C18	44.45	138.43	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C19	68.58	153.67	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C2	69.85	142.24	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C2-EP-DR	35.56	148.59	0.00	4.7uF/25V	NORDIC_NRF_3_RESC0201_L
C20	49.53	130.81	0.00	4.7µF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21	50.80	128.27	0.00	4.7µF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22	72.39	133.35	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C23	46.99	147.32	0.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C24	45.72	146.05	0.00	10uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25	50.80	146.05	0.00	22uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27	43.18	151.13	0.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C29	41.91	127.00	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C3	66.04	135.89	0.00	1pF	NORDIC_NRF_3_RESC0201_L
C30	63.50	127.00	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C31	52.07	127.00	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C32	34.29	125.73	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C33	50.80	144.78	0.00	22uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C34	35.56	123.19	0.00	0.1uF 	NORDIC_NRF_3_RESC0201_L
C37	49.53	147.32	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C38	45.72	149.86	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C39	40.64	146.05	0.00	10uF	NORDIC_NRF_3_RESC0201_L
C4	69.85	133.35	0.00	1pF	NORDIC_NRF_3_RESC0201_L
C42	60.96	149.86	0.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C43	60.96	147.32	0.00	4.7uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C5	46.99	142.24	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C6	48.26	133.35	0.00	4.7µF	NORDIC_NRF_3_RESC0201_L
C7	54.61	129.54	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C8	62.23	133.35	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C9	63.50	135.89	0.00	820pF	NORDIC_NRF_3_RESC0201_L
D2	34.29	149.86	0.00	ESP32_C6_LIBRARY_5_MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D3	60.96	152.40	0.00	USBLC6-2SC6Y	ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4	39.37	149.86	0.00	ESP32_C6_LIBRARY_5_MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D5	33.02	147.32	0.00	ESP32_C6_LIBRARY_5_MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
DMG2305UX-7	45.72	152.45	0.00	20V/4.2A/52mΩ/1.4W	ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
EPD_C1	41.91	143.51	0.00	1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10	41.91	135.89	0.00	1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11	41.91	134.62	0.00	1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
